,Latitude,Longitude,state_names
1,32.806671,-86.79113,AL
3,33.729759,-111.431221,AZ
4,34.969704,-92.373123,AR
5,36.116203,-119.681564,CA
6,39.059811,-105.311104,CO
7,41.597782,-72.755371,CT
8,39.318523,-75.507141,DE
9,38.897438,-77.026817,NA
10,27.766279,-81.686783,FL
11,33.040619,-83.643074,GA
13,44.240459,-114.478828,ID
14,40.349457,-88.986137,IL
15,39.849426,-86.258278,IN
16,42.011539,-93.210526,IA
17,38.5266,-96.726486,KS
18,37.66814,-84.670067,KY
19,31.169546,-91.867805,LA
20,44.693947,-69.381927,ME
21,39.063946,-76.802101,MD
22,42.230171,-71.530106,MA
23,43.326618,-84.536095,MI
24,45.694454,-93.900192,MN
25,32.741646,-89.678696,MS
26,38.456085,-92.288368,MO
27,46.921925,-110.454353,MT
28,41.12537,-98.268082,NE
29,38.313515,-117.055374,NV
30,43.452492,-71.563896,NH
31,40.298904,-74.521011,NJ
32,34.840515,-106.248482,NM
33,42.165726,-74.948051,NY
34,35.630066,-79.806419,NC
35,47.528912,-99.784012,ND
36,40.388783,-82.764915,OH
37,35.565342,-96.928917,OK
38,44.572021,-122.070938,OR
39,40.590752,-77.209755,PA
40,41.680893,-71.51178,RI
41,33.856892,-80.945007,SC
42,44.299782,-99.438828,SD
43,35.747845,-86.692345,TN
44,31.054487,-97.563461,TX
45,40.150032,-111.862434,UT
46,44.045876,-72.710686,VT
47,37.769337,-78.169968,VA
48,47.400902,-121.490494,WA
49,38.491226,-80.954453,WV
50,44.268543,-89.616508,WI
51,42.755966,-107.30249,WY
